id,img_name,source,anger,disgust,fear,joy,neutral,sadness,surprise
247_faceplusplus,247,faceplusplus,0.0,0.023,0.004,0.0,0.0,99.973,0.0
248_faceplusplus,248,faceplusplus,0.001,0.759,0.0,0.0,0.142,99.098,0.0
249_faceplusplus,249,faceplusplus,0.0,0.01,0.027,0.0,0.001,99.962,0.0
250_faceplusplus,250,faceplusplus,0.0,0.056,0.011,0.0,0.48,99.453,0.0
251_faceplusplus,251,faceplusplus,0.005,0.036,0.416,0.0,0.108,99.434,0.0
252_faceplusplus,252,faceplusplus,0.002,0.668,0.002,0.0,0.005,99.323,0.0
253_faceplusplus,253,faceplusplus,0.001,0.014,0.007,0.0,0.001,99.976,0.0
254_faceplusplus,254,faceplusplus,0.003,0.486,0.283,0.0,0.012,99.214,0.0
255_faceplusplus,255,faceplusplus,1.02,2.742,0.117,0.01,0.523,95.58,0.008
256_faceplusplus,256,faceplusplus,0.0,0.039,0.001,0.0,0.0,99.961,0.0
257_faceplusplus,257,faceplusplus,0.005,0.547,2.235,0.001,0.478,96.733,0.001
258_faceplusplus,258,faceplusplus,0.0,0.192,0.09,0.0,0.056,99.662,0.0
259_faceplusplus,259,faceplusplus,0.002,0.392,0.188,0.0,0.205,99.212,0.0
260_faceplusplus,260,faceplusplus,0.399,26.45,14.327,0.025,45.084,13.695,0.019
261_faceplusplus,261,faceplusplus,0.756,0.026,1.434,0.002,0.305,97.474,0.002
262_faceplusplus,262,faceplusplus,0.037,0.08,41.125,0.003,1.545,57.205,0.003
263_faceplusplus,263,faceplusplus,0.001,0.001,0.003,0.008,7.766,92.22,0.001
264_faceplusplus,264,faceplusplus,0.012,0.056,0.883,0.128,73.123,25.786,0.012
265_faceplusplus,265,faceplusplus,0.002,0.002,0.241,0.005,92.855,6.894,0.002
266_faceplusplus,266,faceplusplus,0.0,0.0,0.017,0.001,99.967,0.015,0.0
267_faceplusplus,267,faceplusplus,0.0,0.0,0.0,0.014,99.78,0.206,0.0
268_faceplusplus,268,faceplusplus,0.0,0.0,0.001,0.003,97.317,2.679,0.0
269_faceplusplus,269,faceplusplus,0.0,0.0,0.0,0.003,99.876,0.12,0.0
270_faceplusplus,270,faceplusplus,0.0,0.0,0.0,0.002,99.941,0.056,0.001
271_faceplusplus,271,faceplusplus,0.0,0.0,0.0,0.001,99.99,0.009,0.0
272_faceplusplus,272,faceplusplus,0.0,0.0,0.0,0.0,99.795,0.204,0.0
273_faceplusplus,273,faceplusplus,0.0,0.0,0.0,0.002,99.208,0.788,0.002
274_faceplusplus,274,faceplusplus,0.0,0.0,0.0,0.0,48.774,51.226,0.0
275_faceplusplus,275,faceplusplus,0.0,0.0,0.0,0.003,82.562,17.432,0.003
276_faceplusplus,276,faceplusplus,0.0,0.0,0.0,0.004,91.649,8.346,0.0
277_faceplusplus,277,faceplusplus,0.0,0.0,0.0,0.001,99.138,0.861,0.0
278_faceplusplus,278,faceplusplus,0.0,0.0,0.0,0.0,99.857,0.142,0.0
279_faceplusplus,279,faceplusplus,0.0,0.0,0.0,0.001,98.756,1.24,0.002
280_faceplusplus,280,faceplusplus,0.0,0.0,0.015,0.068,99.028,0.888,0.0
281_faceplusplus,281,faceplusplus,0.0,0.0,0.0,0.002,99.895,0.103,0.0
282_faceplusplus,282,faceplusplus,0.0,0.0,0.0,0.0,99.999,0.001,0.0
283_faceplusplus,283,faceplusplus,0.001,0.001,0.001,0.018,98.481,1.498,0.001
